LeftRight,Area,Test_Year,Test_Quarter,Brand,Size,Make,Number_of_Owners,Age_as_of_Test,Liveline_Usage,PreArrange_Usage,Number_of_Usage,Leakage_mA,Test_Result
Left,North,2025,Q4,CATU,9,Composite,3,3.5,45.0,24.0,69.0,1.341,Pass
Right,South,2023,Q3,3M,7,EPDM,3,0.5,448.0,532.0,980.0,1.613,Pass
Left,Central,2023,Q3,CATU,9,Composite,3,0.0,604.0,149.0,753.0,0.384,Pass
Left,South,2023,Q3,CATU,9,Composite,2,2.0,316.0,212.0,528.0,1.677,Pass
Left,Central,2024,Q4,Honeywell,8,Composite,2,2.25,628.0,535.0,1163.0,2.851,Pass
Right,South,2025,Q2,Honeywell,7,Composite,4,2.25,1142.0,380.0,1522.0,2.953,Pass
Left,Central,2024,Q4,CATU,8,Latex Rubber,4,0.25,366.0,508.0,874.0,0.798,Pass
Left,North,2024,Q2,3M,7,Composite,3,1.25,190.0,170.0,360.0,1.315,Pass
Left,South,2023,Q4,Novax,8,Latex Rubber,4,2.0,77.0,554.0,631.0,1.202,Pass
Right,North,2025,Q4,Honeywell,9,Latex Rubber,2,0.75,301.0,185.0,486.0,1.725,Pass
Left,Central,2024,Q2,Honeywell,7,EPDM,4,3.5,701.0,865.0,1566.0,3.532,Fail
Left,South,2024,Q3,3M,10,Composite,2,0.25,190.0,621.0,811.0,1.727,Pass
Left,South,2023,Q2,Honeywell,9,EPDM,3,2.0,443.0,616.0,1059.0,2.09,Pass
Left,South,2025,Q1,3M,10,Latex Rubber,3,2.75,923.0,606.0,1529.0,2.927,Pass
Right,South,2024,Q1,Honeywell,9,EPDM,2,1.0,75.0,816.0,891.0,1.27,Pass
Left,Central,2023,Q2,Novax,8,Composite,4,2.5,1054.0,448.0,1502.0,3.465,Fail
Right,North,2023,Q4,CATU,7,EPDM,3,3.25,393.0,336.0,729.0,2.389,Pass
Right,Central,2024,Q1,3M,9,Latex Rubber,3,0.75,48.0,507.0,555.0,1.534,Pass
Right,South,2024,Q1,3M,8,Latex Rubber,4,3.75,831.0,83.0,914.0,2.994,Pass
Left,South,2023,Q4,CATU,7,Composite,4,2.25,611.0,589.0,1200.0,1.63,Pass
Right,South,2025,Q4,3M,7,EPDM,2,1.25,794.0,692.0,1486.0,2.04,Pass
Left,South,2023,Q3,3M,9,Composite,4,1.75,680.0,400.0,1080.0,1.645,Pass
Right,North,2024,Q4,Honeywell,7,Composite,4,1.25,1106.0,612.0,1718.0,2.551,Pass
Right,Central,2025,Q2,Honeywell,9,Latex Rubber,4,3.0,488.0,861.0,1349.0,2.569,Pass
Right,North,2024,Q2,CATU,7,Composite,2,3.25,570.0,107.0,677.0,3.16,Fail
Right,Central,2024,Q3,Novax,10,Composite,2,3.25,110.0,406.0,516.0,2.506,Pass
Right,Central,2024,Q1,3M,8,Composite,3,4.0,523.0,228.0,751.0,3.087,Fail
Right,South,2023,Q1,Novax,10,Latex Rubber,2,3.25,185.0,522.0,707.0,3.052,Fail
Right,Central,2025,Q4,CATU,9,Latex Rubber,3,2.5,247.0,638.0,885.0,2.953,Pass
Right,North,2024,Q2,Novax,10,EPDM,4,1.25,919.0,240.0,1159.0,2.021,Pass
Left,North,2025,Q1,Honeywell,9,Latex Rubber,3,2.25,1092.0,431.0,1523.0,2.523,Pass
Left,South,2023,Q3,Novax,7,Composite,3,0.25,1132.0,120.0,1252.0,0.677,Pass
Right,South,2023,Q3,Novax,7,EPDM,4,3.0,880.0,167.0,1047.0,2.549,Pass
Right,North,2023,Q2,CATU,9,EPDM,3,1.75,504.0,230.0,734.0,1.614,Pass
Right,North,2024,Q3,Novax,10,Composite,2,0.0,956.0,234.0,1190.0,1.425,Pass
Left,South,2024,Q3,CATU,7,EPDM,2,0.25,764.0,186.0,950.0,1.12,Pass
Right,North,2025,Q2,CATU,8,Latex Rubber,2,1.5,220.0,253.0,473.0,1.895,Pass
Left,South,2024,Q4,CATU,7,Composite,2,2.25,1156.0,322.0,1478.0,2.561,Pass
Left,South,2025,Q4,Honeywell,8,Composite,3,1.75,149.0,214.0,363.0,1.561,Pass
Left,North,2023,Q3,3M,10,Composite,3,2.5,550.0,660.0,1210.0,3.356,Fail
Left,North,2025,Q4,Honeywell,8,Composite,4,2.0,279.0,396.0,675.0,2.178,Pass
Left,South,2025,Q4,Honeywell,8,Latex Rubber,3,2.75,1045.0,861.0,1906.0,3.498,Fail
Right,Central,2025,Q3,Honeywell,8,EPDM,3,1.0,515.0,100.0,615.0,1.103,Pass
Right,Central,2025,Q4,Novax,8,EPDM,3,0.5,1139.0,898.0,2037.0,2.092,Pass
Right,South,2025,Q3,CATU,7,Latex Rubber,4,2.5,41.0,862.0,903.0,2.062,Pass
Right,South,2024,Q1,CATU,8,Composite,2,2.0,1107.0,760.0,1867.0,2.81,Pass
Right,South,2023,Q2,CATU,7,EPDM,3,0.0,1102.0,90.0,1192.0,1.751,Pass
Left,South,2023,Q2,3M,8,EPDM,4,1.5,822.0,419.0,1241.0,2.131,Pass
Right,Central,2025,Q4,3M,9,EPDM,4,0.5,371.0,398.0,769.0,0.592,Pass
Right,North,2024,Q4,CATU,10,Latex Rubber,4,2.25,938.0,700.0,1638.0,3.896,Fail
Left,South,2025,Q4,CATU,8,Latex Rubber,2,1.5,109.0,637.0,746.0,1.956,Pass
Right,South,2024,Q2,Novax,9,EPDM,3,2.5,18.0,848.0,866.0,1.751,Pass
Left,Central,2023,Q1,Honeywell,8,Latex Rubber,4,3.25,706.0,505.0,1211.0,2.956,Pass
Right,South,2023,Q1,CATU,8,Composite,2,1.25,1062.0,608.0,1670.0,2.546,Pass
Left,North,2024,Q2,Honeywell,8,Composite,4,3.75,1147.0,586.0,1733.0,4.774,Fail
Right,Central,2024,Q1,3M,9,Composite,4,2.25,471.0,137.0,608.0,1.531,Pass
Right,North,2023,Q2,CATU,10,Composite,4,2.5,930.0,795.0,1725.0,3.716,Fail
Left,Central,2024,Q1,Honeywell,9,EPDM,4,2.75,1176.0,653.0,1829.0,4.158,Fail
Left,North,2023,Q3,Honeywell,10,EPDM,4,2.75,399.0,318.0,717.0,2.143,Pass
Left,North,2024,Q3,CATU,8,Latex Rubber,2,2.0,641.0,703.0,1344.0,2.471,Pass
Left,North,2023,Q2,Novax,7,EPDM,3,1.75,691.0,225.0,916.0,1.569,Pass
Left,South,2025,Q1,Novax,8,EPDM,3,0.25,166.0,442.0,608.0,0.883,Pass
Left,South,2023,Q4,Honeywell,10,Composite,3,0.0,344.0,50.0,394.0,0.636,Pass
Left,South,2024,Q1,Honeywell,9,Composite,3,1.5,269.0,794.0,1063.0,2.412,Pass
Left,South,2023,Q3,Honeywell,8,EPDM,2,1.25,91.0,196.0,287.0,1.791,Pass
Right,Central,2023,Q3,3M,9,EPDM,2,1.5,763.0,524.0,1287.0,1.909,Pass
Right,North,2024,Q1,CATU,9,Latex Rubber,2,0.5,729.0,383.0,1112.0,0.592,Pass
Left,South,2024,Q1,3M,9,Composite,4,3.0,84.0,792.0,876.0,2.728,Pass
Right,North,2024,Q4,Honeywell,8,Composite,4,3.5,635.0,695.0,1330.0,3.569,Fail
Right,South,2023,Q4,Honeywell,9,EPDM,4,3.75,71.0,338.0,409.0,2.855,Pass
Right,North,2024,Q1,3M,9,Composite,3,2.0,883.0,43.0,926.0,2.07,Pass
Right,South,2025,Q1,Novax,8,Composite,4,2.75,329.0,297.0,626.0,2.438,Pass
Left,North,2025,Q1,Novax,9,EPDM,3,3.5,111.0,694.0,805.0,3.707,Fail
Right,South,2023,Q1,Honeywell,8,Composite,4,1.75,883.0,166.0,1049.0,2.397,Pass
Left,Central,2024,Q2,Honeywell,10,EPDM,3,1.25,963.0,335.0,1298.0,1.969,Pass
